,Transaction ID,Transaction Date,Menu,Category,Menu ID,Qty,Price,Total Spent,Payment Method,Order Type
89,SUN-4728761,03-11-2023,Fudgy Brownies,Dessert,DST-02,4,25000,100000,Debit Card,Take Away
90,SUN-7619456,01-08-2023,Cinnamon Roll,Dessert,DST-05,3,28000,84000,Cash,Dine in
91,SUN-4458150,05-07-2023,Classic Tirmaisu,Dessert,DST-01,1,38000,38000,Debit Card,Take Away
92,SUN-6861326,03-09-2023,Espreso Single,Drinks,DRK-01,3,22000,66000,Debit Card,Take Away
93,SUN-5710075,06-07-2023,Grill Chicken Caesar Salad,Food,FOD-04,2,42000,84000,Debit Card,Online Order
94,SUN-8696965,25-12-2023,Iced Americano,Drinks,DRK-02,1,28000,28000,Cash,Take Away
95,SUN-3209298,02-10-2023,Grill Chicken Caesar Salad,Food,FOD-04,1,42000,42000,Digital Wallet,Online Order
96,SUN-6335997,20-01-2023,Fudgy Brownies,Dessert,DST-02,2,25000,50000,Debit Card,Online Order
97,SUN-8701876,23-02-2023,Caramel Machiato,Drinks,DRK-04,4,38000,152000,Digital Wallet,Dine in
98,SUN-9369959,18-07-2023,Cafe Latte,Drinks,DRK-03,2,32000,64000,Digital Wallet,Take Away
99,SUN-9007520,27-10-2023,Creamy Maycha Latte,Drinks,DRK-05,2,35000,70000,Digital Wallet,Dine in
100,SUN-6965170,26-01-2023,Buttermilk Fried Chicken,Food,FOD-01,4,48000,192000,Digital Wallet,Dine in
101,SUN-2176637,07-09-2023,New York Cheesecake,Dessert,DST-03,1,42000,42000,Debit Card,Dine in
102,SUN-7190228,05-10-2023,Iced Americano,Drinks,DRK-02,4,28000,112000,Debit Card,Online Order
103,SUN-9112378,15-10-2023,Caramel Machiato,Drinks,DRK-04,4,38000,152000,Digital Wallet,Online Order
104,SUN-1884453,15-11-2023,Classic Tirmaisu,Dessert,DST-01,1,38000,38000,Digital Wallet,Online Order
105,SUN-6599234,11-03-2023,Club Sandwich,Food,FOD-05,1,45000,45000,Digital Wallet,Online Order
106,SUN-2044559,22-07-2023,Iced Americano,Drinks,DRK-02,1,28000,28000,Debit Card,Online Order
107,SUN-6571331,20-10-2023,Cinnamon Roll,Dessert,DST-05,1,28000,28000,Debit Card,Online Order
108,SUN-2121958,11-05-2023,Fudgy Brownies,Dessert,DST-02,4,25000,100000,Cash,Take Away
109,SUN-3448229,11-03-2023,Choco Lava Cake,Dessert,DST-04,3,35000,105000,Digital Wallet,Take Away
110,SUN-9080212,25-06-2023,Nasi Goreng Kampung,Food,FOD-03,1,38000,38000,Debit Card,Dine in
111,SUN-1397780,30-01-2023,Choco Lava Cake,Dessert,DST-04,3,35000,105000,Debit Card,Take Away
112,SUN-3627858,22-03-2023,New York Cheesecake,Dessert,DST-03,1,42000,42000,Digital Wallet,Dine in
113,SUN-2692139,09-11-2023,Fudgy Brownies,Dessert,DST-02,2,25000,50000,Cash,Take Away
114,SUN-2440799,01-09-2023,Fudgy Brownies,Dessert,DST-02,2,25000,50000,Debit Card,Online Order
115,SUN-8218015,11-11-2023,Grill Chicken Caesar Salad,Food,FOD-04,3,42000,126000,Debit Card,Take Away
116,SUN-5637471,03-11-2023,Creamy Maycha Latte,Drinks,DRK-05,3,35000,105000,Cash,Online Order
117,SUN-6718347,16-11-2023,Club Sandwich,Food,FOD-05,1,45000,45000,Debit Card,Online Order
118,SUN-8029297,24-04-2023,Cafe Latte,Drinks,DRK-03,3,32000,96000,Cash,Take Away
119,SUN-6442569,22-06-2023,Espreso Single,Drinks,DRK-01,2,22000,44000,Debit Card,Take Away
120,SUN-3449758,14-08-2023,Grill Chicken Caesar Salad,Food,FOD-04,3,42000,126000,Debit Card,Online Order
121,SUN-9376620,11-04-2023,New York Cheesecake,Dessert,DST-03,3,42000,126000,Digital Wallet,Dine in
122,SUN-6870859,02-12-2023,New York Cheesecake,Dessert,DST-03,2,42000,84000,Debit Card,Online Order
123,SUN-3389280,03-01-2023,Beef Carbonara Pasta,Food,FOD-02,4,52000,208000,Digital Wallet,Take Away
124,SUN-2168768,02-11-2023,Choco Lava Cake,Dessert,DST-04,4,35000,140000,Debit Card,Online Order
125,SUN-4370626,24-08-2023,Classic Tirmaisu,Dessert,DST-01,3,38000,114000,Digital Wallet,Dine in
126,SUN-7072237,03-04-2023,Cinnamon Roll,Dessert,DST-05,4,28000,112000,Cash,Dine in
127,SUN-7240072,20-09-2023,Caramel Machiato,Drinks,DRK-04,3,38000,114000,Debit Card,Online Order
128,SUN-6852486,31-05-2023,New York Cheesecake,Dessert,DST-03,2,42000,84000,Digital Wallet,Dine in
129,SUN-3821196,01-11-2023,Fudgy Brownies,Dessert,DST-02,3,25000,75000,Digital Wallet,Dine in
130,SUN-6602783,31-12-2023,Classic Tirmaisu,Dessert,DST-01,2,38000,76000,Debit Card,Take Away
131,SUN-8317716,13-04-2023,Creamy Maycha Latte,Drinks,DRK-05,2,35000,70000,Digital Wallet,Online Order
132,SUN-2998632,21-06-2023,Cafe Latte,Drinks,DRK-03,3,32000,96000,Cash,Take Away
133,SUN-4646385,20-03-2023,Cinnamon Roll,Dessert,DST-05,4,28000,112000,Digital Wallet,Take Away
134,SUN-6848832,10-09-2023,Caramel Machiato,Drinks,DRK-04,2,38000,76000,Debit Card,Dine in
135,SUN-3881732,22-08-2023,Fudgy Brownies,Dessert,DST-02,3,25000,75000,Debit Card,Online Order
136,SUN-4437995,05-11-2023,Classic Tirmaisu,Dessert,DST-01,1,38000,38000,Cash,Dine in
137,SUN-4064754,21-10-2023,Fudgy Brownies,Dessert,DST-02,2,25000,50000,Debit Card,Dine in
138,SUN-7246577,23-12-2023,Espreso Single,Drinks,DRK-01,2,22000,44000,Debit Card,Dine in
139,SUN-4378964,18-12-2023,Espreso Single,Drinks,DRK-01,1,22000,22000,Debit Card,Online Order
140,SUN-5252162,23-11-2023,New York Cheesecake,Dessert,DST-03,4,42000,168000,Debit Card,Dine in
141,SUN-7914926,24-02-2023,Creamy Maycha Latte,Drinks,DRK-05,1,35000,35000,Debit Card,Dine in
142,SUN-4545296,16-01-2023,Cinnamon Roll,Dessert,DST-05,1,28000,28000,Cash,Online Order
143,SUN-1133441,26-06-2023,Iced Americano,Drinks,DRK-02,1,28000,28000,Digital Wallet,Online Order
144,SUN-1807755,06-05-2023,Choco Lava Cake,Dessert,DST-04,3,35000,105000,Cash,Take Away
145,SUN-5441274,23-11-2023,Classic Tirmaisu,Dessert,DST-01,3,38000,114000,Debit Card,Take Away
146,SUN-7021722,18-10-2023,Creamy Maycha Latte,Drinks,DRK-05,2,35000,70000,Digital Wallet,Online Order
147,SUN-2768078,04-06-2023,Espreso Single,Drinks,DRK-01,4,22000,88000,Debit Card,Online Order
148,SUN-8541636,30-07-2023,Fudgy Brownies,Dessert,DST-02,2,25000,50000,Digital Wallet,Take Away
149,SUN-2164854,04-08-2023,Buttermilk Fried Chicken,Food,FOD-01,4,48000,192000,Digital Wallet,Online Order
150,SUN-5063759,22-11-2023,Cafe Latte,Drinks,DRK-03,2,32000,64000,Cash,Dine in
151,SUN-2020546,09-01-2023,Buttermilk Fried Chicken,Food,FOD-01,3,48000,144000,Cash,Dine in
152,SUN-2859577,28-06-2023,New York Cheesecake,Dessert,DST-03,4,42000,168000,Debit Card,Online Order
153,SUN-3668874,03-09-2023,Choco Lava Cake,Dessert,DST-04,2,35000,70000,Debit Card,Dine in
154,SUN-3776525,15-06-2023,Caramel Machiato,Drinks,DRK-04,2,38000,76000,Debit Card,Online Order
155,SUN-2797868,02-12-2023,Creamy Maycha Latte,Drinks,DRK-05,4,35000,140000,Digital Wallet,Online Order
156,SUN-4534516,13-12-2023,New York Cheesecake,Dessert,DST-03,2,42000,84000,Debit Card,Dine in
157,SUN-7480897,29-10-2023,Creamy Maycha Latte,Drinks,DRK-05,4,35000,140000,Digital Wallet,Dine in
158,SUN-1818575,19-06-2023,Classic Tirmaisu,Dessert,DST-01,2,38000,76000,Debit Card,Online Order
159,SUN-8890449,20-11-2023,Iced Americano,Drinks,DRK-02,3,28000,84000,Debit Card,Dine in
160,SUN-6063953,27-01-2023,Choco Lava Cake,Dessert,DST-04,2,35000,70000,Digital Wallet,Take Away
161,SUN-3604425,30-08-2023,Creamy Maycha Latte,Drinks,DRK-05,1,35000,35000,Cash,Dine in
162,SUN-3324318,08-04-2023,Creamy Maycha Latte,Drinks,DRK-05,1,35000,35000,Digital Wallet,Dine in
163,SUN-3373933,31-03-2023,Grill Chicken Caesar Salad,Food,FOD-04,2,42000,84000,Cash,Take Away
164,SUN-3376191,06-09-2023,Classic Tirmaisu,Dessert,DST-01,3,38000,114000,Digital Wallet,Dine in
165,SUN-3220183,08-10-2023,Caramel Machiato,Drinks,DRK-04,1,38000,38000,Cash,Online Order
166,SUN-2098329,21-11-2023,Cafe Latte,Drinks,DRK-03,4,32000,128000,Debit Card,Dine in
167,SUN-9511805,19-03-2023,Fudgy Brownies,Dessert,DST-02,4,25000,100000,Debit Card,Online Order
168,SUN-8191587,15-11-2023,Grill Chicken Caesar Salad,Food,FOD-04,4,42000,168000,Debit Card,Dine in
169,SUN-1219774,31-10-2023,Classic Tirmaisu,Dessert,DST-01,4,38000,152000,Debit Card,Dine in
170,SUN-2598345,25-04-2023,Fudgy Brownies,Dessert,DST-02,3,25000,75000,Debit Card,Online Order
171,SUN-7979580,23-01-2023,Iced Americano,Drinks,DRK-02,1,28000,28000,Debit Card,Online Order
172,SUN-2376089,09-10-2023,Nasi Goreng Kampung,Food,FOD-03,4,38000,152000,Debit Card,Online Order
173,SUN-1428244,29-10-2023,Club Sandwich,Food,FOD-05,3,45000,135000,Debit Card,Dine in
174,SUN-1596637,18-06-2023,Choco Lava Cake,Dessert,DST-04,1,35000,35000,Cash,Dine in
175,SUN-1232934,02-03-2023,Grill Chicken Caesar Salad,Food,FOD-04,4,42000,168000,Debit Card,Online Order
176,SUN-4940154,23-02-2023,Espreso Single,Drinks,DRK-01,4,22000,88000,Digital Wallet,Online Order
177,SUN-7778868,17-05-2023,Caramel Machiato,Drinks,DRK-04,3,38000,114000,Debit Card,Online Order
178,SUN-4468281,04-10-2023,Classic Tirmaisu,Dessert,DST-01,2,38000,76000,Digital Wallet,Dine in
179,SUN-2820156,26-04-2023,Buttermilk Fried Chicken,Food,FOD-01,4,48000,192000,Digital Wallet,Take Away
180,SUN-8610447,12-01-2023,Fudgy Brownies,Dessert,DST-02,1,25000,25000,Debit Card,Dine in
181,SUN-6857776,10-09-2023,Cafe Latte,Drinks,DRK-03,4,32000,128000,Digital Wallet,Dine in
182,SUN-3268170,29-09-2023,Cinnamon Roll,Dessert,DST-05,4,28000,112000,Debit Card,Take Away
183,SUN-8460867,07-03-2023,Espreso Single,Drinks,DRK-01,2,22000,44000,Debit Card,Dine in
184,SUN-2202653,24-07-2023,Iced Americano,Drinks,DRK-02,1,28000,28000,Debit Card,Dine in
185,SUN-5930089,25-05-2023,Club Sandwich,Food,FOD-05,2,45000,90000,Digital Wallet,Dine in
186,SUN-3523061,02-07-2023,Caramel Machiato,Drinks,DRK-04,4,38000,128000,Debit Card,Online Order
187,SUN-3907234,03-01-2023,Creamy Maycha Latte,Drinks,DRK-05,1,35000,35000,Debit Card,Dine in
188,SUN-3376408,20-08-2023,New York Cheesecake,Dessert,DST-03,1,42000,42000,Debit Card,Online Order
189,SUN-2474644,06-04-2023,Fudgy Brownies,Dessert,DST-02,2,25000,50000,Debit Card,Take Away
190,SUN-6435249,22-07-2023,Buttermilk Fried Chicken,Food,FOD-01,2,48000,96000,Digital Wallet,Online Order
191,SUN-2293712,03-06-2023,Caramel Machiato,Drinks,DRK-04,1,38000,38000,Digital Wallet,Online Order
192,SUN-5780941,11-08-2023,Caramel Machiato,Drinks,DRK-04,3,38000,114000,Debit Card,Online Order
193,SUN-7361289,08-02-2023,Club Sandwich,Food,FOD-05,1,45000,45000,Digital Wallet,Online Order
194,SUN-7418451,13-05-2023,New York Cheesecake,Dessert,DST-03,1,42000,42000,Digital Wallet,Take Away
195,SUN-2550749,20-08-2023,Creamy Maycha Latte,Drinks,DRK-05,3,35000,105000,Debit Card,Online Order
196,SUN-2242503,08-10-2023,Nasi Goreng Kampung,Food,FOD-03,3,38000,114000,Debit Card,Online Order
197,SUN-7971008,19-05-2023,Choco Lava Cake,Dessert,DST-04,4,35000,140000,Cash,Take Away
198,SUN-2736348,09-01-2023,Cafe Latte,Drinks,DRK-03,1,32000,32000,Debit Card,Dine in
199,SUN-1342287,22-09-2023,Cinnamon Roll,Dessert,DST-05,2,28000,56000,Debit Card,Dine in
200,SUN-1631517,04-07-2023,Grill Chicken Caesar Salad,Food,FOD-04,2,42000,84000,Debit Card,Dine in
201,SUN-1687780,27-08-2023,Choco Lava Cake,Dessert,DST-04,3,35000,105000,Digital Wallet,Take Away
202,SUN-8196563,28-02-2023,Cafe Latte,Drinks,DRK-03,3,32000,96000,Debit Card,Online Order
203,SUN-4984981,07-06-2023,Fudgy Brownies,Dessert,DST-02,4,25000,100000,Digital Wallet,Online Order
204,SUN-2594032,19-11-2023,Caramel Machiato,Drinks,DRK-04,4,38000,152000,Debit Card,Take Away
205,SUN-6140431,13-11-2023,Choco Lava Cake,Dessert,DST-04,1,35000,35000,Digital Wallet,Take Away
206,SUN-6813486,26-04-2023,Creamy Maycha Latte,Drinks,DRK-05,4,35000,140000,Digital Wallet,Dine in
207,SUN-5616345,19-08-2023,Espreso Single,Drinks,DRK-01,2,22000,44000,Debit Card,Online Order
208,SUN-8141910,31-01-2023,New York Cheesecake,Dessert,DST-03,1,42000,42000,Debit Card,Online Order
209,SUN-9830927,23-10-2023,Grill Chicken Caesar Salad,Food,FOD-04,2,42000,84000,Digital Wallet,Dine in
210,SUN-9108748,08-04-2023,Beef Carbonara Pasta,Food,FOD-02,1,52000,52000,Cash,Take Away
211,SUN-4772500,05-05-2023,Espreso Single,Drinks,DRK-01,4,22000,88000,Digital Wallet,Online Order
212,SUN-3987335,19-12-2023,Beef Carbonara Pasta,Food,FOD-02,2,52000,104000,Debit Card,Online Order
213,SUN-9763101,18-07-2023,Caramel Machiato,Drinks,DRK-04,4,38000,152000,Debit Card,Online Order
214,SUN-6865526,16-11-2023,Creamy Maycha Latte,Drinks,DRK-05,4,35000,140000,Digital Wallet,Dine in
215,SUN-4977216,13-03-2023,Nasi Goreng Kampung,Food,FOD-03,1,38000,38000,Debit Card,Online Order
216,SUN-1597202,04-10-2023,Iced Americano,Drinks,DRK-02,1,28000,28000,Digital Wallet,Dine in
217,SUN-7905133,30-12-2023,New York Cheesecake,Dessert,DST-03,4,42000,168000,Digital Wallet,Take Away
218,SUN-8380533,29-01-2023,Club Sandwich,Food,FOD-05,1,45000,45000,Debit Card,Dine in
219,SUN-7696811,30-03-2023,Club Sandwich,Food,FOD-05,3,45000,135000,Debit Card,Take Away
220,SUN-8800863,23-02-2023,Buttermilk Fried Chicken,Food,FOD-01,1,48000,48000,Cash,Dine in
221,SUN-7274735,04-04-2023,Classic Tirmaisu,Dessert,DST-01,1,38000,38000,Digital Wallet,Online Order
222,SUN-2350697,24-04-2023,Caramel Machiato,Drinks,DRK-04,4,38000,152000,Digital Wallet,Online Order
223,SUN-8557956,27-01-2023,New York Cheesecake,Dessert,DST-03,3,42000,126000,Debit Card,Take Away
224,SUN-6403515,24-11-2023,Classic Tirmaisu,Dessert,DST-01,1,38000,38000,Digital Wallet,Online Order
225,SUN-4396863,05-04-2023,Iced Americano,Drinks,DRK-02,4,28000,112000,Cash,Take Away
226,SUN-6923322,03-12-2023,Beef Carbonara Pasta,Food,FOD-02,4,52000,208000,Digital Wallet,Dine in
227,SUN-7762641,06-10-2023,New York Cheesecake,Dessert,DST-03,2,42000,84000,Cash,Dine in
228,SUN-4601079,04-03-2023,New York Cheesecake,Dessert,DST-03,1,42000,42000,Debit Card,Online Order
229,SUN-3763262,12-09-2023,Fudgy Brownies,Dessert,DST-02,2,25000,50000,Debit Card,Online Order
230,SUN-1480627,10-10-2023,Espreso Single,Drinks,DRK-01,4,22000,88000,Debit Card,Online Order
231,SUN-8622709,16-02-2023,Nasi Goreng Kampung,Food,FOD-03,2,38000,76000,Debit Card,Online Order
232,SUN-6757150,17-02-2023,Iced Americano,Drinks,DRK-02,3,28000,84000,Digital Wallet,Dine in
233,SUN-5596627,18-05-2023,Buttermilk Fried Chicken,Food,FOD-01,3,48000,144000,Digital Wallet,Take Away
234,SUN-9841085,26-01-2023,Classic Tirmaisu,Dessert,DST-01,1,38000,38000,Debit Card,Dine in
235,SUN-2713777,03-06-2023,Creamy Maycha Latte,Drinks,DRK-05,3,35000,105000,Digital Wallet,Take Away
236,SUN-3524544,25-06-2023,Grill Chicken Caesar Salad,Food,FOD-04,2,42000,84000,Debit Card,Take Away
237,SUN-7653084,30-06-2023,Buttermilk Fried Chicken,Food,FOD-01,4,48000,192000,Cash,Take Away
238,SUN-1235445,28-07-2023,Choco Lava Cake,Dessert,DST-04,3,35000,105000,Debit Card,Dine in
239,SUN-1667427,16-06-2023,Buttermilk Fried Chicken,Food,FOD-01,4,48000,192000,Cash,Take Away
240,SUN-6268847,22-03-2023,Cafe Latte,Drinks,DRK-03,1,32000,32000,Digital Wallet,Take Away
241,SUN-1316955,03-08-2023,Cinnamon Roll,Dessert,DST-05,1,28000,28000,Debit Card,Dine in
242,SUN-4588078,16-06-2023,Iced Americano,Drinks,DRK-02,2,28000,56000,Digital Wallet,Dine in
243,SUN-7885330,03-11-2023,Choco Lava Cake,Dessert,DST-04,3,35000,105000,Digital Wallet,Online Order
244,SUN-3431116,13-09-2023,Caramel Machiato,Drinks,DRK-04,1,38000,38000,Digital Wallet,Dine in
